City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
246,Bubaque,GW,2022-04-26 07:17:52,11.2833,-15.8333,77.47,72,2,7.45
247,Merauke,ID,2022-04-26 07:17:52,-8.4667,140.3333,84.09,72,78,10.6
248,Bella Union,UY,2022-04-26 07:17:53,-30.2752,-57.6007,68.38,98,45,12.44
249,Clive,US,2022-04-26 07:17:53,41.603,-93.7241,34.02,81,0,5.75
250,Lorengau,PG,2022-04-26 07:17:54,-2.0226,147.2712,82.56,76,15,8.57
251,Kearney,US,2022-04-26 07:17:54,40.6995,-99.0815,38.25,44,0,4.61
252,San Patricio,US,2022-04-26 07:17:55,28.017,-97.5169,75.06,91,100,12.12
253,Coquimbo,CL,2022-04-26 07:16:46,-29.9533,-71.3436,55.13,100,100,6.91
254,Port Blair,IN,2022-04-26 07:17:04,11.6667,92.75,86.04,74,75,9.22
255,Marshall,US,2022-04-26 07:17:56,34.3834,-86.3333,67.75,82,100,5.75
256,Bilma,NE,2022-04-26 07:17:57,18.6853,12.9164,90.05,11,3,2.62
257,Butembo,CD,2022-04-26 07:17:57,0.15,29.2833,62.35,95,100,1.41
258,Flin Flon,CA,2022-04-26 07:17:58,54.7682,-101.865,15.46,95,8,5.35
259,Poum,NC,2022-04-26 07:17:58,-20.2333,164.0167,77.41,65,100,17.98
260,Tinskoy,RU,2022-04-26 07:17:59,56.1525,96.9161,46.51,42,100,10.02
261,Abu Kamal,SY,2022-04-26 07:17:59,34.4506,40.9171,80.89,34,68,9.37
262,Havelock,US,2022-04-26 07:18:00,34.8791,-76.9013,68.95,93,0,4.61
263,Inirida,CO,2022-04-26 07:18:00,3.8653,-67.9239,72.1,98,63,2.06
264,Souillac,MU,2022-04-26 07:18:01,-20.5167,57.5167,80.98,65,40,12.66
265,Pangai,TO,2022-04-26 07:18:02,-19.8,-174.35,73.62,80,100,9.22
266,Fuyang,CN,2022-04-26 07:18:02,32.9,115.8167,83.26,52,100,5.77
267,Mackay,AU,2022-04-26 07:18:03,-21.15,149.2,73.69,82,100,21.25
268,Hornepayne,CA,2022-04-26 07:18:03,49.2138,-84.7705,13.32,87,100,9.53
269,Nanchang,CN,2022-04-26 07:18:04,28.6833,115.8833,81.1,70,100,6.6
270,Los Llanos De Aridane,ES,2022-04-26 07:18:04,28.6585,-17.9182,58.75,79,20,10.0
271,La Primavera,CO,2022-04-26 07:18:05,5.4906,-70.4092,80.1,72,99,2.39
272,Axim,GH,2022-04-26 07:18:05,4.8699,-2.2405,80.17,85,90,2.73
273,Leningradskiy,RU,2022-04-26 07:18:06,69.3833,178.4167,15.84,95,82,12.62
274,Virginia Beach,US,2022-04-26 07:18:07,36.8529,-75.978,68.02,84,0,4.61
275,Abu Zabad,SD,2022-04-26 07:18:07,12.35,29.25,88.02,41,100,14.76
276,Calbuco,CL,2022-04-26 07:19:08,-41.768,-73.1273,47.41,80,9,17.52
277,Emba,KZ,2022-04-26 07:19:08,48.8264,58.1442,61.54,28,1,3.2
278,Labuan,MY,2022-04-26 07:19:09,5.2767,115.2417,88.16,70,20,4.61
279,Toropets,RU,2022-04-26 07:14:44,56.4978,31.6353,44.35,84,100,6.2
280,Catuday,PH,2022-04-26 07:19:11,16.2923,119.8062,86.22,63,8,12.71
281,Victoria,HK,2022-04-26 07:16:26,22.2855,114.1577,86.97,75,3,11.01
282,Moerai,PF,2022-04-26 07:19:12,-22.4333,-151.3333,79.88,81,92,13.22
283,Biak,ID,2022-04-26 07:19:13,-0.9131,122.8766,82.67,75,65,1.74
284,Umm Lajj,SA,2022-04-26 07:19:13,25.0213,37.2685,86.92,31,0,2.98
285,Khatanga,RU,2022-04-26 07:19:14,71.9667,102.5,17.56,82,100,8.59
286,Port Moresby,PG,2022-04-26 07:19:14,-9.4431,147.1797,87.22,70,40,8.05
